tracker_id,team,seconds_active,observations,distance_m,avg_speed_kmh,top_speed_kmh,sprint_count,sprint_distance_m,avg_x_m,avg_y_m,control_s,touches,speed_reliable
46,0,4.48,28,4.26,3.49,4.75,0,0.0,69.77,50.47,0.0,0,True
90,1,6.72,32,4.19,6.67,9.63,0,0.0,91.4,42.73,0.0,0,True
89,0,1.76,11,4.11,8.96,0.0,0,0.0,65.98,47.77,0.0,0,True
118,1,3.84,13,4.06,7.91,0.0,0,0.0,109.32,52.74,0.2,1,True
10,1,16.32,95,3.96,4.7,0.0,0,0.0,40.02,55.04,0.5,2,True
27,1,14.4,62,3.87,3.74,6.88,0,0.0,39.86,50.27,0.0,0,True
135,0,2.56,17,3.86,6.0,0.0,0,0.0,68.55,40.84,0.0,0,True
134,0,2.72,17,3.67,5.14,0.0,0,0.0,57.95,50.67,0.0,0,True
11,0,3.2,21,3.41,4.08,0.0,0,0.0,18.84,24.93,0.0,0,True
33,0,1.44,10,3.1,8.71,0.0,0,0.0,18.39,46.75,1.6,2,True
103,0,2.88,19,2.93,6.7,0.0,0,0.0,62.75,33.34,0.0,0,True
24,0,2.4,16,2.6,4.31,0.0,0,0.0,28.41,6.51,0.0,0,True
8,0,2.88,19,2.51,3.68,0.0,0,0.0,19.92,11.1,0.0,0,True
110,1,6.72,37,2.47,6.79,0.0,0,0.0,77.53,42.13,0.0,0,True
108,1,5.28,33,2.33,5.08,0.0,0,0.0,93.29,40.29,0.0,0,True
94,1,3.2,20,2.25,25.29,0.0,0,0.0,66.5,29.12,0.0,0,True
80,1,3.04,20,2.1,9.45,0.0,0,0.0,45.0,56.41,0.0,0,True
34,1,2.24,11,1.87,6.75,0.0,0,0.0,64.09,52.93,0.0,0,True
52,0,1.44,10,1.47,5.17,0.0,0,0.0,77.24,8.41,0.0,0,True
47,1,1.44,10,1.16,3.4,0.0,0,0.0,68.25,61.65,0.0,0,True
7,1,14.08,82,0.72,1.36,1.98,0,0.0,36.44,41.75,0.0,0,True
117,0,1.44,10,0.71,3.5,0.0,0,0.0,120.0,44.1,0.0,0,True
2,1,4.48,3,0.0,0.0,0.0,0,0.0,23.71,46.6,0.0,0,True
21,1,0.16,2,0.0,0.0,0.0,0,0.0,57.78,70.0,0.0,0,True
42,0,0.96,7,0.0,0.0,0.0,0,0.0,55.31,14.64,0.0,0,True
43,0,0.0,1,0.0,0.0,0.0,0,0.0,75.21,34.48,0.0,0,True
67,1,0.0,1,0.0,0.0,0.0,0,0.0,67.89,41.3,0.0,0,True
68,0,0.0,1,0.0,0.0,0.0,0,0.0,68.72,36.3,0.0,0,True
71,1,0.0,1,0.0,0.0,0.0,0,0.0,67.95,36.66,0.0,0,True
85,1,9.44,37,0.0,0.0,0.0,0,0.0,82.3,44.44,0.0,0,True
93,1,0.64,5,0.0,0.0,0.0,0,0.0,48.77,32.2,0.0,0,True
97,1,0.64,5,0.0,0.0,0.0,0,0.0,42.96,35.33,0.0,0,True
100,0,0.0,1,0.0,0.0,0.0,0,0.0,33.47,23.0,0.0,0,True
111,1,0.0,1,0.0,0.0,0.0,0,0.0,120.0,44.12,0.0,0,True
112,1,4.0,22,0.0,1.22,0.0,0,0.0,109.73,47.42,0.2,1,True
116,1,0.64,3,0.0,0.0,0.0,0,0.0,98.47,67.38,0.0,0,True
136,1,0.96,7,0.0,0.0,0.0,0,0.0,113.66,44.6,0.0,0,True
139,1,0.64,5,0.0,0.0,0.0,0,0.0,102.86,63.51,0.0,0,True
143,0,0.96,7,0.0,0.0,0.0,0,0.0,62.09,58.29,0.0,0,True
147,0,0.8,6,0.0,0.0,0.0,0,0.0,97.54,64.07,0.0,0,True
148,0,0.8,6,0.0,0.0,0.0,0,0.0,71.12,20.03,0.0,0,True
149,1,0.8,6,0.0,0.0,0.0,0,0.0,115.26,49.7,0.0,0,True
150,1,0.8,6,0.0,0.0,0.0,0,0.0,76.33,19.87,0.0,0,True
